ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.32,42.2,6877.76,43.07,6930.77,21.5,23.6,21.4,21.4,32.2,31.878,0.884925,39.0,100.4,79.99872,583.7,147.8,112.4,480.5,3800.0,3800.0,4.014,967.343872,754.077026,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,752.646484,-4.396452,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.18,42.2,6877.76,43.07,6930.77,21.5,23.5,22.5,21.3,32.1,31.779,0.88398,39.4,100.29,79.048578,575.3,148.0,112.2,480.0,3800.0,3800.0,4.008,958.138123,755.781982,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,718.037415,-4.187411,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.18,42.2,6877.76,43.07,6930.77,21.5,23.0,19.7,17.2,31.3,30.674,0.88155,35.5,96.13,75.769666,579.9,147.5,111.8,480.3,3500.0,3500.0,4.008,929.55188,742.758606,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,702.652344,-3.377979,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.18,42.2,6877.76,43.07,6930.77,21.5,26.099999999999998,20.9,23.8,32.1,31.458,0.8748,36.3,103.66,81.704812,387.8,105.4,91.6,409.5,3400.0,3400.0,3.786,934.826111,722.696472,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,657.374756,-3.318393,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.18,42.2,6877.76,43.07,6930.77,21.5,23.6,23.1,22.1,33.0,32.67,0.87291,35.7,101.58,80.065356,390.3,105.5,91.8,410.2,3500.0,3500.0,3.885,945.980652,690.420776,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,650.657104,-1.232442,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.28,42.2,6877.76,43.07,6930.77,21.5,24.1,16.700000000000003,24.2,31.1,30.478,0.88506,36.3,100.99,81.519128,388.1,105.2,92.3,410.4,3500.0,3500.0,3.887,924.601013,657.652832,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,660.403687,-3.470536,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.28,42.2,6877.76,43.07,6930.77,21.5,21.9,21.2,16.25,30.1,29.799,0.880335,35.3,100.9,81.44648,462.9,121.6,99.7,436.9,3600.0,3600.0,3.88,924.114502,654.8092039999999,1309.0,16.69,1.24,0.76,79.87,0.87,0.04,7.47,699.696533,-3.632689,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.28,42.2,6877.76,43.07,6930.77,21.5,26.099999999999998,20.5,19.3,30.8,30.184,0.838755,41.8,100.61,81.212392,470.0,100.0,100.8,405.5,3800.0,3800.0,3.895,939.474426,663.205688,1309.0,16.69,1.24,0.76,79.87,0.87,0.05,7.73,720.527344,-4.060729,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,19.28,42.2,6877.76,43.07,6930.77,21.5,26.099999999999998,21.2,20.7,30.0,29.7,0.84348,41.9,99.52,80.332544,540.9,150.8,107.8,481.4,4000.0,4000.0,4.076,973.07843,694.542175,1309.0,16.69,1.24,0.76,79.87,0.87,0.05,7.73,678.119019,-2.951239,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.29,42.2,6877.76,43.07,6930.77,21.5,19.3,17.5,19.5,30.6,30.6,0.87318,41.1,99.99,79.702029,524.8,146.7,105.7,480.8,4000.0,4000.0,4.148,997.178955,713.045593,1311.0,17.97,1.18,0.83,78.95,0.87,0.05,7.73,681.437317,-3.444244,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.29,42.2,6877.76,43.07,6930.77,21.5,25.2,22.3,19.5,30.1,29.498,0.864135,43.3,101.23,80.690433,588.9,154.2,112.4,488.6,4100.0,4100.0,4.128,979.532654,722.308594,1311.0,17.97,1.18,0.83,78.95,0.87,0.05,7.73,675.749146,-3.560554,0.0
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.29,42.2,6877.76,43.07,6930.77,21.5,21.9,18.0,20.1,30.6,30.6,0.86616,43.9,102.36,81.591156,580.4,153.6,111.9,489.4,4200.0,4200.0,3.927,1003.474487,747.403931,1311.0,17.97,1.18,0.83,78.95,0.87,0.05,7.73,665.800781,-4.234327,0.0
