ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.09,43.32,6903.98,41.81,6684.19,21.5,20.1,21.9,22.5,34.35,34.35,0.89073,45.2,95.59,74.474169,588.1,274.4,114.0,470.6,4100.0,5.07,1007.10498,808.76416,1349.0,15.77,1.43,0.78,81.49,0.53,0.05,7.15,666.84259,-2.913978,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.63,43.32,6903.98,41.81,6684.19,21.5,22.4,22.2,19.3,33.66,33.3234,0.89289,38.7,99.89,76.285993,552.8,276.7,109.2,470.8,4000.0,5.076,1058.698853,836.260193,1357.0,15.87,1.44,0.8,81.36,0.53,0.05,7.15,777.6354358750001,-2.039585,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.63,43.32,6903.98,41.81,6684.19,21.5,23.1,22.2,17.4,31.7,31.066,0.907335,38.1,104.67,79.936479,390.0,268.4,92.3,461.2,3700.0,5.313,991.324768,802.62616,1357.0,15.87,1.44,0.8,81.36,0.53,0.05,7.15,720.048401,-1.896671,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.63,43.32,6903.98,41.81,6684.19,21.5,21.7,22.9,21.8,35.47,35.47,0.905985,38.2,104.46,79.776102,384.7,263.2,92.3,460.5,3500.0,5.281,945.453674,788.229614,1357.0,15.87,1.44,0.8,81.36,0.53,0.05,7.15,777.6354358750001,-2.419747,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.21,43.32,6903.98,41.81,6684.19,21.5,20.6,19.6,20.4,30.8,30.8,0.907065,40.5,104.66,80.368414,397.9,264.5,91.9,461.6,3700.0,5.263,933.990051,762.103088,1357.0,15.87,1.44,0.8,81.36,0.53,0.05,6.65,724.073303,-3.370717,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.21,43.32,6903.98,41.81,6684.19,21.5,20.9,21.8,22.8,32.8,32.8,0.906255,42.3,104.61,80.330019,465.8,278.3,100.1,472.9,3800.0,5.263,942.100647,759.145325,1357.0,15.87,1.44,0.8,81.36,0.53,0.05,6.65,746.280029,-2.699137,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.21,43.32,6903.98,41.81,6684.19,21.5,19.8,21.2,21.3,24.5,24.5,0.911925,43.1,102.75,78.901725,454.2,278.3,100.1,473.0,3900.0,5.273,957.391113,769.648499,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.65,695.885803,-3.217396,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.21,43.32,6903.98,41.81,6684.19,21.5,17.3,22.0,22.6,32.73,32.73,0.90909,44.6,103.72,79.646588,473.1,279.0,102.2,473.6,4000.0,5.31,975.129639,770.878662,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.65,701.984741,-2.62665,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,21.47,43.32,6903.98,41.81,6684.19,21.5,21.3,22.8,23.6,32.13,32.13,0.90207,47.6,103.25,81.082225,463.6,279.3,102.0,473.3,4200.0,5.412,1007.074097,767.284668,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.65,723.306335,-2.582153,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,21.47,43.32,6903.98,41.81,6684.19,21.5,22.0,21.8,22.1,31.36,31.36,0.900585,48.7,103.68,81.419904,505.8,279.1,106.4,470.6,4300.0,5.261,998.540283,766.976501,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.58,771.416016,-2.857224,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,21.47,43.32,6903.98,41.81,6684.19,21.5,18.8,19.6,17.5,30.19,29.8881,0.901395,48.4,104.41,81.993173,522.3,278.9,108.3,469.4,4400.0,5.273,1008.356689,794.370239,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.58,696.457153,-3.167478,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,21.47,43.32,6903.98,41.81,6684.19,21.5,20.3,21.1,20.4,34.32,33.9768,0.903285,43.9,105.36,82.739208,393.0,277.9,92.5,466.7,4300.0,5.249,1006.038208,818.944641,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.58,671.863586,-3.209072,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,20.23,43.32,6903.98,41.81,6684.19,21.5,17.3,21.0,20.3,32.48,32.48,0.89289,43.9,104.6,83.43942,504.7,241.2,105.1,447.8,4000.0,5.244,1019.206848,811.332581,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.58,677.455383,-4.032352,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,20.23,43.32,6903.98,41.81,6684.19,21.5,20.8,21.3,21.3,32.51,32.51,0.905175,46.7,105.79,84.388683,493.7,251.5,102.8,449.8,4000.0,5.321,1019.736572,799.484253,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.58,689.320618,-2.960512,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,20.23,43.32,6903.98,41.81,6684.19,21.5,21.3,21.1,23.3,33.32,32.9868,0.894375,48.4,105.37,84.053649,490.8,257.1,103.1,448.3,4300.0,5.292,1043.042358,805.81488,1348.0,15.78,1.5,0.84,81.38,0.5,0.05,6.63,687.704773,-2.373827,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,20.23,43.32,6903.98,41.81,6684.19,21.5,19.6,20.3,16.25,31.83,31.5117,0.899775,47.2,105.22,83.933994,451.5,229.8,99.0,429.5,4400.0,5.287,1051.875854,786.434509,1355.0,15.8,1.45,0.88,81.38,0.49,0.05,6.63,701.984741,-1.871307,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.58,43.32,6903.98,41.81,6684.19,21.5,20.6,21.7,21.1,33.55,33.55,0.898965,41.2,105.33,80.493186,373.1,188.8,91.0,395.6,4300.0,5.268,1077.775391,799.581177,1355.0,15.8,1.45,0.88,81.38,0.49,0.05,6.63,696.266724,-3.314407,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.58,43.32,6903.98,41.81,6684.19,21.5,19.7,22.6,20.3,26.59,26.3241,0.89856,31.4,105.42,80.561964,248.7,128.8,71.6,339.9,3600.0,5.253,1039.637939,806.152649,1355.0,15.8,1.45,0.88,81.38,0.49,0.05,6.63,682.196472,-3.938315,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.58,43.32,6903.98,41.81,6684.19,21.5,21.0,22.0,21.9,35.09,35.09,0.901125,31.8,105.22,80.409124,291.7,176.8,79.0,377.4,3000.0,4.394,948.847961,759.260254,1355.0,15.8,1.45,0.88,81.38,0.49,0.05,7.36,669.116028,-3.239457,0.27
